source_dataset,account_id,label,quality_flag,feature_completeness,username,display_name,description,location,lang,created_at,account_age_days,followers_count,following_count,followers_following_ratio,tweet_count,tweets_per_day,listed_count,favourites_count,verified,default_profile,default_profile_image,description_length,username_length
Twitter Bot Training Data 2,3369547257,1,ok,1.0,emoji__polls,EMOJI POLLS!,A silly bot by @fourtonfish @botwikidotorg. Image credit: https://t.co/X3tmC9y6oI,‰÷•ü,en,7/10/2015 18:30,629,443,2,147.66666666666666,9584,15.236883942766296,17,6,False,False,False,81,12
Twitter Bot Training Data 2,2555847008,1,ok,1.0,everytrolltroll,EveryCanonTrollTroll,exposing the BLATANT HYPOCRISY of @everycanontroll // because @thricedotted was just THAT ANGRY about it,,en,Mon Jun 09 01:33:19 +0000 2014,1025,27,1,13.5,145,0.1414634146341463,10,0,False,True,False,104,15
Twitter Bot Training Data 2,2520449720,1,ok,1.0,hyphizer,hyphizer,"New words, from time to time. By @derekarnold",#botALLY,en,Sat May 24 13:13:08 +0000 2014,1041,191,2,63.666666666666664,5684,5.460134486071086,19,0,False,False,False,45,8
Twitter Bot Training Data 2,8.29E+17,1,ok,1.0,GreenwadeGema,Gema Greenwade,secr,,en,Mon Feb 06 14:07:17 +0000 2017,52,1,35,0.027777777777777776,82,1.5769230769230769,1,54,False,True,False,4,13
Twitter Bot Training Data 2,2886558632,1,ok,1.0,par_papers,Parasitology papers,"Twitterbot of #Parasitology papers in PubMed, bioRxiv, and PeerJ PrePrints. Image from http://t.co/zYv7ygHs2U. Run by @FilipHusnik",,en,11/1/2014 17:27,880,651,0,651.0,19867,22.57613636363636,36,0,False,False,False,130,10
Twitter Bot Training Data 2,2787206222,1,ok,1.0,everyMTGlegend,every MTG legend,tweeting every legendary MTG card (as of 10/2015) task complete in ~1 year,The Coast Where Wizards Chill,en,Wed Sep 03 03:39:41 +0000 2014,939,37,45,0.8043478260869565,191,0.2034078807241746,7,0,False,False,False,74,14
Twitter Bot Training Data 2,2364079946,1,ok,1.0,assembly_papers,assemblypapers,Papers on directed and self assembly,,en,2/27/2014 12:09,1127,331,56,5.807017543859649,29989,26.60958296362023,36,23,False,True,False,36,15
Twitter Bot Training Data 2,3369559252,1,ok,1.0,DeepDreamThis,Deep Dream This,Tweet me a picture and I'll #deepdream it for you! Tweet '-me' and I'll dream your avatar! List of commands here: http://t.co/BRfLYAkWBA,"London, England",en,Fri Jul 10 17:20:58 +0000 2015,629,1327,2,442.3333333333333,24199,38.47217806041336,92,0,False,True,False,136,13
Twitter Bot Training Data 2,1184955668,1,ok,1.0,baron777111,Baron Baugh,,,en,Sat Jan 16 05:57:59 +0000 2016,439,0,52,0.0,0,0.0,0,0,False,True,True,0,11
Twitter Bot Training Data 2,4855573727,1,ok,1.0,BestOpinionPoll,Best Opinion Polls,express your opinion on hopelessly mundane things with the highest-quality polls this side of Twitter. A project by @_Ninji.,,en,1/28/2016 0:53,427,54,0,54.0,1585,3.711943793911007,5,2,False,True,False,124,15
Twitter Bot Training Data 2,2593449065,1,ok,1.0,dstroyeveryword,destroy every word,Destroy every word in the english language. Task complete when the world ends. By @dangeredwolf.,,en,Sun Jun 08 23:52:57 +0000 2014,1026,4247,2,1415.6666666666667,109325,106.55458089668616,72,587,False,False,False,96,15
Twitter Bot Training Data 2,761165367985246208,1,ok,1.0,917_7513,(917) 615-7513,Sports,,en,Thu Aug 04 11:42:20 +0000 2016,238,0,54,0.0,18,0.0756302521008403,0,7,False,True,True,6,8
Twitter Bot Training Data 2,1892842986,1,ok,1.0,snowcloneminute,Snowclone-a-Minute,"A mashup of http://t.co/Tdj0YYLDOM and http://t.co/VSKfYVAJ21, another weird Internet thing by @air_hadoken.  Have a snowclone to add? Tweet it @air_hadoken!",,en,Sun Sep 22 07:42:14 +0000 2013,1285,163,2,54.333333333333336,552492,429.9548638132296,74,64,False,True,False,157,15
Twitter Bot Training Data 2,2540286551,1,ok,1.0,NESGarbageBot,NES Garbage Bot,Tweets randomly-generated 16x16 images using the NES color palette. Images are resampled for your viewing pleasure.,,en,Sun May 11 03:58:12 +0000 2014,1054,32,1,16.0,6181,5.864326375711575,12,0,False,True,False,115,13
Twitter Bot Training Data 2,2751246980,1,ok,1.0,BklynMuseumBot,Brooklyn Museum Bot,"I am a bot that tweets one random object from the Brooklyn Museum collection, four times a day. Bot by @backspace (not affiliated with @brooklynmuseum)","Brooklyn, NY",en,8/21/2014 4:08,952,903,1,451.5,3654,3.838235294117647,50,0,False,False,False,151,14
Twitter Bot Training Data 2,7.72E+17,1,ok,1.0,clitoscope,Clitoris Vulgaris,A compendium of newly discovered species of clitoris // by @startuple #botALLY,,en,9/3/2016 22:40,208,108,10,9.818181818181818,537,2.581730769230769,9,10,False,False,False,78,10
Twitter Bot Training Data 2,7.06E+17,1,ok,1.0,feud_exe,Survey Says,Name something by @irondavy,,en,Sat Mar 05 03:44:14 +0000 2016,390,190,1,95.0,4032,10.33846153846154,23,1,False,False,False,27,8
Twitter Bot Training Data 2,2835394560,1,ok,1.0,vaporfave,Vaporfave,Tweets ~10 times a day between 8am-10pm PST. Will probably get more vaporwave-y as time goes by. Complaints: @beaugunderson,,en,Mon Sep 29 03:48:39 +0000 2014,913,675,118,5.6722689075630255,15437,16.907995618838992,66,8,False,False,False,123,9
Twitter Bot Training Data 2,4825082233,1,ok,1.0,peabero89,peabero89,Middle age is youth without levity; and age without decay.,"Van Horn town, TX, USA",en,1/28/2016 10:23,427,1,340,0.002932551319648094,49,0.1147540983606557,0,33,False,True,False,58,9
Twitter Bot Training Data 2,4452780559,1,ok,1.0,UcOVJ4xlZaGwtKm,_Ö_Îñ«,,,en,4/12/2015 12:14,718,89,1225,0.07259380097879282,2,0.0027855153203342,0,2,False,True,False,0,15
Twitter Bot Training Data 2,2821046862,1,ok,1.0,moonmurmur,"whispers, for moon","[@thricedotted's subconscious, possibly]",the sky and all of space,en,Sat Sep 20 05:03:51 +0000 2014,922,1076,0,1076.0,12674,13.746203904555314,40,0,False,False,False,40,10
Twitter Bot Training Data 2,2477378850,1,ok,1.0,AttentiveBot,AttentiveBot,"You may have missed some things, I will help you find them.",Tended to by @dphiffer,en,Sun May 04 20:46:22 +0000 2014,1061,399,679,0.586764705882353,26073,24.57398680490104,20,64,False,False,False,59,12
Twitter Bot Training Data 2,6.99E+17,1,ok,1.0,vocalsvt,free follow|read bio,"hi! @VlNTAEGE gave you this free follow and i hope you'll follow my main acc, i want to get to know more people! have a good day ‰_•ü",‰äÇ VlNTAEGE,en,Sun Feb 14 20:43:25 +0000 2016,410,394,3537,0.11136235161107971,349,0.8512195121951219,0,46,False,False,False,135,8
Twitter Bot Training Data 2,8.39E+17,1,ok,1.0,249_4665,+249 11 498 4665,,,ar,Wed Mar 08 15:26:07 +0000 2017,22,4,96,0.041237113402061855,0,0.0,0,3,False,True,True,0,8
Twitter Bot Training Data 2,201143023,1,ok,1.0,Ttimmson74,Tamica brown,,"Virginia, USA",en,Mon Oct 11 05:12:52 +0000 2010,2362,0,140,0.0,12,0.0050804403048264,0,2,False,True,True,0,10
Twitter Bot Training Data 2,820930460121300992,1,ok,1.0,LondonPogoMap,London PokŽ Alert,Rare and strong PokŽmon in London. See more PokŽmon at https://t.co/rqjskg5pkE,London,en,Mon Jan 16 09:47:28 +0000 2017,73,1334,0,1334.0,59023,808.5342465753424,13,7,False,True,False,78,13
Twitter Bot Training Data 2,2787454512,1,ok,1.0,CrisprPhages,Phages & Crisprs,"A twitterbot posting the latest pubmed publications on CRISPRs, phages, virusses and prophages.",,en,9/3/2014 7:58,939,36,1,18.0,510,0.5431309904153354,6,0,False,True,True,95,12
Twitter Bot Training Data 2,8.40E+17,1,ok,1.0,forestgen,peaceful forest bot,tweet me to get your own unique peaceful forest.  stay calm. created by @jshxe,soothing forest,en,3/8/2017 16:17,22,8,1,4.0,29,1.318181818181818,1,0,False,False,False,78,9
Twitter Bot Training Data 2,2360241721,1,ok,1.0,phy_papers,phypapers,"Continuous feed for phylogenetics papers from PubMed, arXiv, bioRxiv, and PeerJ PrePrints. Run by @RobLanfear",,en,2/25/2014 0:39,1129,1451,1,725.5,15020,13.303808680248007,44,0,False,False,False,109,10
Twitter Bot Training Data 2,177684507,1,ok,1.0,rnomics,Fabrice Leclerc,"#RNomics, #RNA biology, RNA #bioinformatics, #RNA_World & #evolution, technologies & resources, daily papers: https://t.co/UaH05PfPIt & https://t.co/cuczvAA7dr",France,en,8/12/2010 20:13,2422,1807,101,17.715686274509803,125403,51.7766308835673,258,124,False,False,False,159,7
Twitter Bot Training Data 2,8.41E+17,1,ok,1.0,woloshinj_buzz,Buzz,,,en,3/13/2017 13:51,17,1,63,0.015625,1,0.0588235294117647,0,0,False,True,True,0,14
Twitter Bot Training Data 2,2293077919,1,ok,1.0,DiGRAThemes,DiGRA Themes,DiGRA 2014 Theme Generator. // by @ibogost,Snowbird,en,Wed Jan 15 18:05:26 +0000 2014,1170,82,49,1.64,16728,14.297435897435898,10,0,False,False,False,42,11
Twitter Bot Training Data 2,7.82E+17,1,ok,1.0,Twisted_Maglion,Coralie Maglione,äš_o juzgues mis decisonescuando no conoces las razones.,,en,Sun Oct 02 05:14:11 +0000 2016,179,2,20,0.09523809523809523,127,0.7094972067039106,0,66,False,True,False,56,15
Twitter Bot Training Data 2,8.34E+17,1,ok,1.0,shantae_stubby,Shantae Stubby,ilove myparents more thaneverything,,en,Tue Feb 21 01:28:29 +0000 2017,37,0,25,0.0,73,1.972972972972973,0,56,False,True,False,35,14
Twitter Bot Training Data 2,3069631373,1,ok,1.0,super_jeopardy,Jeopardy! Stumpers,"This! Is! Jeopardy! I'm your host Alex Trebek and love wrong, she catches a train, literally. (by @alicemazzy)",,en,Wed Mar 04 10:41:15 +0000 2015,757,78,1,39.0,4438,5.862615587846763,14,0,False,False,False,110,14
Twitter Bot Training Data 2,2398623474,1,ok,1.0,Speed_1994,Speed (1994),with love by @ems,"LA, FIRST TIME!",en,Thu Mar 20 00:34:23 +0000 2014,1106,403,6,57.57142857142857,12395,11.207052441229656,16,1,False,False,False,17,10
Twitter Bot Training Data 2,8752222,1,ok,1.0,TheUniverse,Šä¾,AKA @YACHT / @5everydayla / @terraformsf / computer book forthcoming @penguinrandom,Los Angeles,en,9/8/2007 21:12,3491,7324,456,16.026258205689278,3334,0.9550272128329992,202,5109,True,False,False,83,11
Twitter Bot Training Data 2,2553194245,1,ok,1.0,everywordNYT,everywordNYT,All the news that fit in @everyword. Tribute bot by @robdubbin.,,en,Sat Jun 07 19:34:43 +0000 2014,1027,68,0,68.0,25193,24.530671859785784,15,1,False,True,False,63,12
Twitter Bot Training Data 2,1945747520,1,ok,1.0,Exoriders,Exoriders,"They scour the exoplanets for dinosaurs and when they find them, THEY RIDE THEM. New Exoriders at five after, chasing the @Exosaurs forever. Bot by @robinsloan.",,en,Tue Oct 08 02:56:40 +0000 2013,1269,108,1,54.0,19770,15.57919621749409,20,0,False,True,False,160,9
Twitter Bot Training Data 2,2479314061,1,ok,1.0,onlymanthings,men only,MAN THINGS THAT ONLY MEN UNDERSTAND // by @thricedotted,MANLAND,en,Tue May 06 05:26:03 +0000 2014,1059,120,0,120.0,5614,5.301227573182247,22,0,False,True,False,55,13
Twitter Bot Training Data 2,4853365872,1,ok,1.0,maximotxx,Maximo Thompson,Knowledge Is Free.,"Sandia, NM, USA",en,2/3/2016 9:40,421,0,330,0.0,29,0.0688836104513064,0,21,False,True,False,18,9
Twitter Bot Training Data 2,7.84E+17,1,ok,1.0,violajacobs2414,Viola Jacobs,I want you to know thatI am both happy and sadand I'm still trying to fgure out how that could be.,,en,Fri Oct 07 18:02:11 +0000 2016,174,0,22,0.0,100,0.5747126436781609,0,71,False,True,False,98,15
Twitter Bot Training Data 2,302049050,1,ok,1.0,Lake5Media,Lake 5 Media,L5M is a provider of advanced software analytical services to the media industry. Clients include the largest firms in the industry. Please follow our progress.,"New York, NY 10022",en,5/20/2011 14:22,2141,15,19,0.75,19,0.0088743577767398,0,0,False,False,False,160,10
Twitter Bot Training Data 2,3384759783,1,ok,1.0,crystalliser,crystalliser,coagulated by @dead_cells,,en-gb,Mon Jul 20 18:46:55 +0000 2015,619,23,0,23.0,63,0.1017770597738287,7,0,False,False,False,25,12
Twitter Bot Training Data 2,393504310,1,ok,1.0,SeethingVortex,SeethingVortex,i got the poo on me,New York Capital Territory,en,10/18/2011 16:49,1990,127,180,0.7016574585635359,12702,6.382914572864322,6,76087,False,False,False,19,14
Twitter Bot Training Data 2,174958347,1,ok,1.0,Horse_ebooks,Horse ebooks,Horse ebooks,,en,8/5/2010 7:18,2429,175986,14914,11.799262487428763,18839,7.755866611774393,1829,1,False,True,False,12,12
Twitter Bot Training Data 2,2305621754,1,ok,1.0,FMKVote,"Fuck, Marry, Kill","HOW TO VOTE: reply to a tweet with 'F' 'M' and 'K' in the order you want to vote. ('MFK' = marry, fuck, kill). A bot by @tinysubversions",The Internet,en,Wed Jan 22 23:34:33 +0000 2014,1163,731,1,365.5,2576,2.2149613069647462,28,0,False,True,False,136,7
Twitter Bot Training Data 2,7.48E+17,1,ok,1.0,biorxiv_evobio,bioRxiv Evobio,,,en,6/29/2016 18:43,274,182,0,182.0,433,1.5802919708029195,6,0,False,True,False,0,14
Twitter Bot Training Data 2,1885568064,1,ok,1.0,BoazimBot,Boazim Bot,"I'm too lazy to update @boazims, so I wrote a bot to do it for me. Tweets hourly. By @tinysubversions.","Boston, MA",en,Fri Sep 20 06:38:32 +0000 2013,1287,123,0,123.0,29410,22.85159285159285,35,0,False,True,False,102,9
Twitter Bot Training Data 2,2808482336,1,ok,1.0,ClipArtBot,Clip Art Bot,"Tweet a picture at me and I'll reply with an improved version! Bot by @_Ninji, art from http://t.co/vUU2SFoL66 [Temporarily broken due to Twitter rate limits!]",,en,Sun Sep 14 01:31:34 +0000 2014,928,1287,1,643.5,62797,67.66918103448276,116,0,False,True,False,159,10
Twitter Bot Training Data 2,7.49E+17,1,ok,1.0,gotogyuterte,Follow @gyuterte,@gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte,@gyuterte,en,Sun Jul 03 01:22:16 +0000 2016,270,110,1797,0.06117908787541713,4,0.0148148148148148,0,12,False,True,False,159,12
Twitter Bot Training Data 2,7.99E+17,1,ok,1.0,libraryofvivec,Library of Vivec,artisanal bot by @Objelisks,,en,Wed Nov 16 08:04:05 +0000 2016,134,9,0,9.0,1412,10.537313432835822,6,0,False,False,False,27,14
Twitter Bot Training Data 2,3945972795,1,ok,1.0,ItMeIRL,me irl,i'm a bot that mirrors the latest posts from /r/me_irl by @corbindavenport.,,en,Tue Oct 13 11:30:21 +0000 2015,534,102437,3,25609.25,13953,26.129213483146067,500,0,False,False,False,75,7
Twitter Bot Training Data 2,7.79E+17,1,ok,1.0,Rober4628,Robert Elliott,,,en,Thu Sep 22 20:55:28 +0000 2016,189,4,350,0.011396011396011397,6,0.0317460317460317,0,4,False,True,False,0,9
Twitter Bot Training Data 2,8.26E+17,1,ok,1.0,aura_mazon,Aura Mazon,ZONA OPERATIV DE DEFENSA NEGRAL NŒÁ 63,,en,Sun Jan 29 03:59:17 +0000 2017,60,1,44,0.022222222222222223,78,1.3,0,66,False,True,False,38,10
Twitter Bot Training Data 2,2533978033,1,ok,1.0,MBPoGoAlert,Pokemon Go,Pokemon Go Alerts in the Myrtle Beach Area! Conway: @ConwayPoGoAlert North Myrtle: @NMBPoGoAlert Loris/Green Sea: @LorisPoGoAlert Carolina Forest: @CFPoGoAlert,"Myrtle Beach, SC",en,Fri May 30 02:51:13 +0000 2014,1035,281,5,46.833333333333336,22739,21.970048309178743,1,1,False,True,False,159,11
Twitter Bot Training Data 2,2607163646,1,ok,1.0,tiny_star_field,‰Ü ‰Ïµtiny star fields‰Ïµ‰Ü,"i produce a small window of stars periodically throughout the day and night // (inquires, @katierosepipkin)",,en,Sun Jul 06 09:21:05 +0000 2014,998,104669,5438,19.244162529876817,7897,7.912825651302605,979,385,False,False,False,107,15
Twitter Bot Training Data 2,516047986,1,ok,1.0,pentametron,Pentametron,With algorithms subtle and discrete / I seek iambic writings to retweet.,Stratford-upon-Internet,en,3/6/2012 1:10,1850,23472,2,7824.0,59327,32.06864864864865,653,120,False,True,False,72,11
Twitter Bot Training Data 2,2359455914,1,ok,1.0,ArkhamSingles,Arkham Singles,"Because even in a sunken, dead city things can be lonely. By @polm23","Arkham, Massachusetts",ja,Mon Feb 24 12:51:17 +0000 2014,1130,43,1,21.5,26955,23.853982300884955,13,4,False,True,False,68,13
Twitter Bot Training Data 2,8.11E+17,1,ok,1.0,NYC_Newswire,NYC Newswire,NYC Newswire Service,"Brooklyn, NY",en,12/19/2016 15:20,101,11,74,0.14666666666666667,1,0.0099009900990099,0,0,False,True,False,20,12
Twitter Bot Training Data 2,812169101665669122,1,ok,1.0,VegasPokeMap,Vegas PokŽmon Alert,Rare and strong PokŽmon in Las Vegas and Spring Valley. See more PokŽmon at https://t.co/GB4nYu29n3,Las Vegas,en,Fri Dec 23 05:32:58 +0000 2016,97,928,0,928.0,71773,739.9278350515464,20,0,False,True,False,99,12
Twitter Bot Training Data 2,2815184227,1,ok,1.0,literaldevices,Literal Devices,A bot that generates novel literary and rhetorical devices and their definitions. By @atduskgreg.,,en,Wed Sep 17 15:45:20 +0000 2014,925,63,2,21.0,2672,2.8886486486486485,15,1,False,True,False,97,14
Twitter Bot Training Data 2,2583829850,1,ok,1.0,emojicheer,The Goal,BOT HARD EVE RY DAY TIL WE REACH THE GOAL #taskcomplete by @negatendo,Internet,en,Mon Jun 23 11:14:16 +0000 2014,1011,71,2,23.666666666666668,644,0.6369930761622157,14,1,False,True,False,69,10
Twitter Bot Training Data 2,2365773044,1,ok,1.0,EuphemismBot,Euphemism Bot,There is no need for that kind of language.,,en,Fri Feb 28 15:34:08 +0000 2014,1126,131,2,43.666666666666664,4499,3.9955595026642974,27,0,False,True,False,43,12
Twitter Bot Training Data 2,2369366659,1,ok,1.0,NK_papers,NK papers,Paper Twitterbot for academics with an interest in NK cell biology.,,en,3/2/2014 20:34,1124,171,4,34.2,8808,7.836298932384341,13,1,False,False,False,67,9
Twitter Bot Training Data 2,2216299843,1,ok,1.0,oliviataters,olivia taters,ugh dad,,en,Tue Nov 26 19:50:33 +0000 2013,1220,6859,5458,1.256457226598278,46537,38.14508196721312,279,73498,False,True,False,7,12
Twitter Bot Training Data 2,7.68E+17,1,ok,1.0,QuantomBot,quantom_dev_bot,Retweet bot for my #indiedev #gameDev bros and gals! Follow for increased retweet chance! Also follow my main account @quantomworks ! Happy coding :),,en,Tue Aug 23 11:46:01 +0000 2016,219,3730,21,169.54545454545453,306026,1397.37899543379,5204,155,False,False,False,149,10
Twitter Bot Training Data 2,8.24E+17,1,ok,1.0,zatieot,zatieot,"Aggressive, spoiled, overweight and rude, antagonistic, often the catalyst for the plot, frequently insults Kyle for being Jewish and Kenny for being poor.","San Lorenzo zona urbana, USA",en,1/25/2017 17:22,64,4,244,0.0163265306122449,17,0.265625,0,10,False,True,False,155,7
Twitter Bot Training Data 2,8.32E+17,1,ok,1.0,ADigginsSDN,Andrew,,,en,2/14/2017 16:13,44,277,4887,0.056669394435351884,41,0.9318181818181818,5,1,False,True,False,0,11
Twitter Bot Training Data 2,2207864359,1,ok,1.0,FreeFlattery,Fred 'Free' Flattery,"Send me a tweet & I'll give you some love. PS - I'm a computer, so words are my second language.",inside the internet,en,Thu Nov 21 21:30:57 +0000 2013,1225,31,23,1.2916666666666667,170,0.1387755102040816,4,2,False,True,False,96,12
Twitter Bot Training Data 2,2250599918,1,ok,1.0,everyboolean,everyboolean,Twittering every boolean value.,,en,Tue Dec 17 15:49:28 +0000 2013,1199,1078,0,1078.0,2,0.0016680567139282,23,0,False,False,False,31,12
Twitter Bot Training Data 2,7.41E+17,1,ok,1.0,bxv_molbiol,bxv_molbiol,Molecular biology pre-prints from bioarxiv #openaccess #science #molbiol #molecularbiology,"Brighton, England",en-gb,6/8/2016 23:25,295,8,0,8.0,123,0.4169491525423728,1,0,False,True,False,90,11
Twitter Bot Training Data 2,1973382756,1,ok,1.0,ColBertStephens,Col. Bert Stephens,Keeping our nation safe by arguing with RINOs like @EdTaters...  and you! A retired bot created by @leonardr.,"America, USA",en,Sun Oct 20 01:26:02 +0000 2013,1257,14,3,3.5,13752,10.940334128878282,7,0,False,True,False,109,15
Twitter Bot Training Data 2,7.50E+17,1,ok,1.0,scillaria,Arianna,#following(100%) #music #classic #news #bassball #travel #movie #pop #__ #____ #__ #jesus,____ __,en,7/4/2016 7:09,269,9978,10829,0.9213296398891967,862,3.204460966542751,9,681,False,True,False,89,9
Twitter Bot Training Data 2,7.98E+17,1,ok,1.0,MoskowitzMooney,Mooney Moskowitz,Diney Wrld 2015  Swet15,,en,Sat Nov 12 23:12:41 +0000 2016,138,0,32,0.0,93,0.6739130434782609,0,69,False,True,False,23,15
